company_name-discard,date_of_post,mention,comments,hashtag,comments,shares,likes,status,views,post_type
Myntra,"Apr 15, 2024",,28,,28,5,26,https://x.com/myntra/status/1779801201984344477/analytics,3900,Carousel Posts
Myntra,"Apr 14, 2024",@msdhoni,17,,17,115,478,https://x.com/myntra/status/1779544580360434035/analytics,8800,Static Images
Myntra,"Apr 12, 2024",,23,,23,4,21,https://x.com/myntra/status/1778721136085492121/analytics,3500,Stories
Myntra,"Apr 11, 2024",,49,,49,841,3500,https://x.com/myntra/status/1778452842979967170/analytics,57000,Carousel Posts
Myntra,"Apr 11, 2024",@ShubmanGill,13,,13,4,18,https://x.com/myntra/status/1778411630453514290/analytics,3600,Polls
Myntra,"Apr 10, 2024",,13,,13,12,21,https://x.com/myntra/status/1778057198377328974/analytics,17000,Product Showcases
Myntra,"Apr 10, 2024",,8,,8,3,10,https://x.com/myntra/status/1777984932436115901/analytics,3800,Memes
Myntra,"Apr 9, 2024",,16,,16,5,23,https://x.com/myntra/status/1777691709784326316/analytics,7300,Memes
Myntra,"Apr 8, 2024",,14,,14,4,14,https://x.com/myntra/status/1777239154377764893/analytics,3800,Stories
Myntra,"Apr 7, 2024",,27,,27,4,17,https://x.com/myntra/status/1776893903435952206/analytics,8100,Reels
Myntra,"Apr 6, 2024",,16,,16,7,21,https://x.com/myntra/status/1776621433336332503/analytics,4700,Product Showcases
Myntra,"Apr 5, 2024",,54,,54,8,29,https://x.com/myntra/status/1776251913677468040/analytics,6500,Carousel Posts
Myntra,"Apr 3, 2024",,20,,20,9,70,https://x.com/myntra/status/1775580740052492558/analytics,13000,Static Images
Myntra,"Apr 2, 2024",,19,#RCBvsLSG,19,5,27,https://x.com/myntra/status/1775215502765457517/analytics,4800,Memes
Myntra,"Apr 2, 2024",,10,,10,5,17,https://x.com/myntra/status/1775118598773641678/analytics,4200,Memes
Myntra,"Apr 1, 2024",,15,,15,6,24,https://x.com/myntra/status/1774673544489935130/analytics,3700,Memes
Myntra,"Mar 31, 2024",@msdhoni,8,#CSKvsDC,8,9,40,https://x.com/myntra/status/1774493758543052909/analytics,4100,Static Images
Myntra,"Mar 30, 2024",,285,,285,8,33,https://x.com/myntra/status/1773969858830741798/analytics,27000,Polls
Myntra,"Mar 29, 2024",,69,,69,13,42,https://x.com/myntra/status/1773597421949399424/analytics,14000,Carousel Posts
Myntra,"Mar 26, 2024",@imjadeja,24,,24,172,1000,https://x.com/myntra/status/1772626868518183329/analytics,19000,Stories
Myntra,"Mar 26, 2024",,65,,65,10,41,https://x.com/myntra/status/1772557616176071119/analytics,12000,Memes
Myntra,"Mar 25, 2024",,14,,14,6,16,https://x.com/myntra/status/1772154031387054565/analytics,3300,Polls
Myntra,"Mar 24, 2024",,13,,13,5,38,https://x.com/myntra/status/1771808167636443186/analytics,3300,Product Showcases
Myntra,"Mar 23, 2024",,14,#KKRvSRH,14,9,34,https://x.com/myntra/status/1771565643382321637/analytics,4200,Carousel Posts
Myntra,"Mar 22, 2024",,17,,17,6,25,https://x.com/myntra/status/1771048918358372520/analytics,2800,Reels
Myntra,"Mar 21, 2024",@msdhoni,22,,22,10,54,https://x.com/myntra/status/1770801925958627757/analytics,3000,Product Showcases
Myntra,"Mar 19, 2024",,17,,17,12,68,https://x.com/myntra/status/1769992198261789072/analytics,5400,Reels
Myntra,"Mar 18, 2024",,16,#WPLFinals,16,14,93,https://x.com/myntra/status/1769440290371502247/analytics,7900,Polls
Myntra,"Mar 14, 2024",,18,,18,3,27,https://x.com/myntra/status/1768264214152687796/analytics,4300,Videos
Myntra,"Mar 12, 2024",,16,,16,3,13,https://x.com/myntra/status/1767470208120459572/analytics,3600,Product Showcases
Myntra,"Mar 8, 2024",,29,,29,7,38,https://x.com/myntra/status/1766098899050344791/analytics,6900,Live Streams
Myntra,"Mar 8, 2024",,13,,13,4,25,https://x.com/myntra/status/1765980857444024533/analytics,3500,Stories
Myntra,"Mar 8, 2024",,7,,7,3,14,https://x.com/myntra/status/1765965358740197675/analytics,3000,Stories
Myntra,"Mar 7, 2024",,17,,17,6,33,https://x.com/myntra/status/1765692198643978513/analytics,4300,Videos
Myntra,"Mar 6, 2024",,12,,12,4,26,https://x.com/myntra/status/1765290964539863261/analytics,3400,Memes
Myntra,"Mar 5, 2024",,22,#MyntraBirthdayBlast,22,15,70,https://x.com/myntra/status/1765058117690401273/analytics,6800,Infographics
Myntra,"Mar 5, 2024",,31,,31,11,45,https://x.com/myntra/status/1764968400089231705/analytics,6600,Infographics
Myntra,"Mar 4, 2024",@msdhoni,17,,17,7,51,https://x.com/myntra/status/1764647348335178087/analytics,4800,Infographics
Myntra,"Mar 4, 2024",,15,,15,6,41,https://x.com/myntra/status/1764638442775040452/analytics,4000,Product Showcases
Myntra,"Mar 4, 2024",,114,#MyntraBirthdayBlast,114,56,159,https://x.com/myntra/status/1764561319192326210/analytics,14000,Memes
Myntra,"Mar 4, 2024",@Phoenix_Arrpi,16,,16,4,14,https://x.com/myntra/status/1764540699276390578/analytics,1500,Live Streams
Myntra,"Mar 2, 2024",,94,#MyntraBirthdayBlast,94,45,130,https://x.com/myntra/status/1763815649774858469/analytics,10000,Videos
Myntra,"Mar 1, 2024",,54,,54,16,81,https://x.com/myntra/status/1763513854473158973/analytics,7700,Product Showcases
Myntra,"Feb 29, 2024",,134,,134,10,69,https://x.com/myntra/status/1763068147471618384/analytics,12000,Stories
Myntra,"Feb 28, 2024",,17,,17,8,40,https://x.com/myntra/status/1762726828505284653/analytics,3400,Product Showcases
Myntra,"Feb 27, 2024",,21,,21,2,51,https://x.com/myntra/status/1762418193208070575/analytics,4700,Static Images
Myntra,"Feb 25, 2024",,15,,15,3,36,https://x.com/myntra/status/1761753288666726658/analytics,5900,Stories
